Invoice_ID,Date,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Tax_5pct,Total,COGS,Gross_Margin_pct,Gross_Income,Payment,Rating
INV-00103,2026-02-25,B,Indore,Normal,Male,Sports and travel,76.1,2.0,7.61,159.81,88.29,39.99,63.91,Ewallet,8.6
INV-00104,2026-07-11,B,Indore,Member,Female,Fashion accessories,53.38,4.0,10.68,224.21,124.54,39.69,88.99,Credit card,7.0
INV-00105,2026-01-07,A,Bhopal,Normal,Male,Home and lifestyle,67.95,5.0,16.99,356.76,255.86,23.52,83.91,Credit card,7.6
INV-00106,2026-06-01,A,Bhopal,Member,Female,Fashion accessories,56.57,6.0,16.97,356.36,228.57,31.1,110.82,Credit card,5.7
INV-00107,2026-06-25,A,Bhopal,Member,Female,Food and beverages,49.59,7.0,17.36,364.48,258.88,24.21,88.24,Ewallet,5.5
INV-00108,2026-04-05,B,Indore,Normal,Female,Health and beauty,61.61,3.0,9.24,194.06,109.02,39.06,75.8,Credit card,7.1
INV-00109,2026-01-28,C,Jabalpur,Normal,Male,Sports and travel,93.17,5.0,23.29,489.16,263.05,41.46,202.82,Credit card,7.9
INV-00110,2026-07-07,B,Indore,Normal,Male,Food and beverages,16.19,5.0,4.05,84.97,44.96,42.32,35.97,Cash,7.7
INV-00111,2026-06-01,C,Jabalpur,Normal,Female,Home and lifestyle,80.69,5.0,20.17,423.61,264.22,32.86,139.22,Credit card,8.9
INV-00112,2026-08-14,A,Bhopal,Member,Male,Sports and travel,58.13,4.0,11.63,244.14,142.41,36.91,90.1,Cash,7.3
INV-00113,2026-03-28,B,Indore,Normal,Male,Health and beauty,34.34,7.0,12.02,252.38,141.38,39.22,98.98,Ewallet,8.3
INV-00114,2026-07-24,A,Bhopal,Normal,Male,Home and lifestyle,49.94,5.0,12.49,262.19,134.72,43.85,114.98,Credit card,7.2
INV-00115,2026-03-12,C,Jabalpur,Member,Female,Food and beverages,38.51,7.0,13.48,283.05,181.55,31.1,88.03,Ewallet,9.1
INV-00116,2026-05-06,C,Jabalpur,Member,Male,Food and beverages,28.82,5.0,7.21,151.31,95.24,32.3,48.87,Cash,6.8
INV-00117,2026-07-22,B,Indore,Member,Male,Health and beauty,53.32,7.0,18.66,391.92,289.95,21.26,83.31,Ewallet,7.8
INV-00118,2026-03-20,B,Indore,Normal,Male,Fashion accessories,58.01,4.0,11.6,243.66,162.75,28.44,69.31,Cash,7.3
INV-00119,2026-07-10,B,Indore,Normal,Male,Food and beverages,45.25,8.0,18.1,380.12,244.38,30.95,117.65,Credit card,6.9
INV-00120,2026-03-06,A,Bhopal,Member,Female,Electronic accessories,48.92,3.0,7.34,154.09,103.96,27.77,42.79,Ewallet,6.7
INV-00121,2026-07-15,C,Jabalpur,Member,Female,Fashion accessories,49.38,7.0,17.28,362.97,181.95,45.11,163.74,Ewallet,6.6
INV-00122,2026-07-05,B,Indore,Normal,Female,Food and beverages,40.15,10.0,20.08,421.6,252.4,35.37,149.12,Credit card,8.3
INV-00123,2026-04-03,A,Bhopal,Normal,Female,Electronic accessories,77.11,3.0,11.57,242.91,137.57,38.6,93.77,Credit card,6.5
INV-00124,2026-01-12,A,Bhopal,Normal,Female,Health and beauty,33.94,2.0,3.39,71.28,52.73,21.26,15.15,Cash,6.2
INV-00125,2026-01-27,C,Jabalpur,Normal,Male,Health and beauty,20.93,5.0,5.23,109.87,65.78,35.37,38.87,Cash,5.7
INV-00126,2026-01-14,B,Indore,Normal,Female,Home and lifestyle,90.34,6.0,27.1,569.12,354.1,33.02,187.92,Credit card,6.3
INV-00127,2026-01-19,B,Indore,Member,Female,Food and beverages,30.07,4.0,6.01,126.3,64.36,44.28,55.93,Ewallet,6.5
INV-00128,2026-03-19,B,Indore,Member,Female,Health and beauty,42.77,5.0,10.69,224.56,123.65,40.17,90.21,Cash,5.8
INV-00129,2026-06-02,B,Indore,Member,Male,Food and beverages,72.0,4.0,14.4,302.41,159.47,42.51,128.55,Cash,8.2
INV-00130,2026-08-09,B,Indore,Normal,Male,Food and beverages,43.0,4.0,8.6,180.61,106.11,36.49,65.9,Cash,7.5
INV-00131,2026-07-09,A,Bhopal,Member,Female,Health and beauty,60.38,3.0,9.06,190.19,126.37,28.8,54.77,Ewallet,6.0
INV-00132,2026-03-03,A,Bhopal,Member,Female,Electronic accessories,10.0,6.0,3.0,63.0,44.91,23.96,15.09,Ewallet,6.1
INV-00133,2026-06-02,B,Indore,Normal,Female,Sports and travel,71.27,9.0,32.07,673.49,480.44,23.9,160.98,Ewallet,8.4
INV-00134,2026-06-29,C,Jabalpur,Member,Female,Sports and travel,60.66,6.0,18.2,382.16,189.86,45.56,174.1,Credit card,7.3
INV-00135,2026-06-10,C,Jabalpur,Member,Male,Food and beverages,50.45,7.0,17.66,370.8,253.51,26.87,99.63,Ewallet,5.4
INV-00136,2026-02-08,A,Bhopal,Member,Female,Home and lifestyle,65.53,6.0,19.66,412.85,211.4,44.03,181.8,Ewallet,7.2
INV-00137,2026-06-02,C,Jabalpur,Normal,Male,Fashion accessories,67.03,3.0,10.05,211.15,137.03,30.34,64.06,Ewallet,5.9
INV-00138,2026-06-29,B,Indore,Normal,Male,Sports and travel,55.18,3.0,8.28,173.8,100.0,37.7,65.53,Cash,7.5
INV-00139,2026-08-16,B,Indore,Normal,Male,Sports and travel,84.92,6.0,25.48,534.98,286.62,41.66,222.89,Ewallet,7.0
INV-00140,2026-06-22,A,Bhopal,Member,Male,Food and beverages,48.08,2.0,4.81,100.97,67.02,28.86,29.14,Cash,8.2
INV-00141,2026-02-14,C,Jabalpur,Normal,Male,Sports and travel,45.08,6.0,13.52,283.98,168.59,35.87,101.86,Ewallet,8.1
INV-00142,2026-06-12,B,Indore,Member,Male,Sports and travel,75.57,3.0,11.34,238.05,156.3,29.58,70.41,Ewallet,6.9
INV-00143,2026-06-21,A,Bhopal,Member,Male,Health and beauty,61.31,9.0,27.59,579.35,305.75,42.46,246.02,Cash,6.7
INV-00144,2026-06-19,B,Indore,Member,Male,Sports and travel,80.49,3.0,12.07,253.54,168.6,28.74,72.86,Ewallet,7.7
INV-00145,2026-01-30,A,Bhopal,Member,Male,Sports and travel,43.98,4.0,8.8,184.73,127.97,25.97,47.97,Cash,6.7
INV-00146,2026-04-03,A,Bhopal,Normal,Male,Food and beverages,32.75,1.0,1.64,34.39,17.65,43.92,15.1,Credit card,4.9
INV-00147,2026-05-21,A,Bhopal,Normal,Male,Electronic accessories,48.67,6.0,14.6,306.61,188.32,33.82,103.68,Credit card,4.3
INV-00148,2026-01-08,B,Indore,Member,Female,Fashion accessories,48.31,6.0,14.49,304.38,151.47,45.47,138.41,Ewallet,6.6
INV-00149,2026-04-15,A,Bhopal,Member,Female,Health and beauty,50.92,3.0,7.64,160.39,82.55,43.77,70.2,Cash,4.8
INV-00150,2026-08-02,A,Bhopal,Normal,Male,Electronic accessories,40.98,5.0,10.24,215.13,112.11,43.12,92.78,Cash,6.8
INV-00151,2026-08-02,A,Bhopal,Normal,Female,Sports and travel,82.59,3.0,12.39,260.16,163.71,32.31,84.06,Cash,8.2
INV-00152,2026-02-18,A,Bhopal,Member,Female,Food and beverages,48.78,5.0,12.19,256.07,183.55,23.56,60.32,Ewallet,7.6
INV-00153,2026-04-17,C,Jabalpur,Normal,Female,Home and lifestyle,76.44,5.0,19.11,401.33,204.75,44.22,177.47,Ewallet,7.3
INV-00154,2026-05-31,A,Bhopal,Normal,Female,Food and beverages,29.88,5.0,7.47,156.87,108.36,26.16,41.04,Cash,6.5
INV-00155,2026-03-27,B,Indore,Normal,Male,Food and beverages,38.66,7.0,13.53,284.14,188.58,28.87,82.03,Credit card,9.6
INV-00156,2026-06-28,C,Jabalpur,Normal,Female,Electronic accessories,51.4,8.0,20.56,431.73,306.5,24.24,104.67,Credit card,5.2
INV-00157,2026-03-23,B,Indore,Normal,Male,Fashion accessories,30.13,8.0,12.05,253.13,138.56,40.5,102.51,Cash,9.4
INV-00158,2026-07-30,B,Indore,Member,Male,Fashion accessories,72.67,5.0,18.17,381.53,211.39,39.83,151.97,Credit card,8.7
INV-00159,2026-06-01,A,Bhopal,Member,Male,Home and lifestyle,57.64,5.0,14.41,302.62,194.3,31.03,93.91,Ewallet,8.4
INV-00160,2026-01-04,C,Jabalpur,Member,Male,Fashion accessories,46.93,6.0,14.08,295.63,217.4,21.7,64.15,Credit card,5.8
INV-00161,2026-01-20,C,Jabalpur,Normal,Male,Sports and travel,41.22,2.0,4.12,86.56,54.01,32.84,28.43,Cash,6.8
INV-00162,2026-01-21,B,Indore,Normal,Male,Home and lifestyle,71.95,5.0,17.99,377.73,202.74,41.56,157.0,Cash,6.5
INV-00163,2026-05-05,C,Jabalpur,Member,Female,Food and beverages,34.5,6.0,10.35,217.33,122.15,39.03,84.83,Ewallet,9.5
INV-00164,2026-03-15,B,Indore,Member,Male,Electronic accessories,55.68,3.0,8.35,175.38,106.49,34.52,60.54,Credit card,6.3
INV-00165,2026-06-30,C,Jabalpur,Normal,Female,Health and beauty,45.34,3.0,6.8,142.82,105.62,21.28,30.4,Credit card,7.6
INV-00166,2026-01-12,C,Jabalpur,Member,Male,Home and lifestyle,59.95,6.0,17.99,377.69,189.85,44.97,169.86,Ewallet,7.6
INV-00167,2026-03-04,B,Indore,Normal,Female,Food and beverages,54.51,4.0,10.9,228.96,151.52,29.06,66.53,Ewallet,5.9
INV-00168,2026-08-11,A,Bhopal,Member,Male,Sports and travel,78.02,8.0,31.21,655.4,417.18,31.58,207.01,Credit card,6.9
INV-00169,2026-04-29,A,Bhopal,Normal,Male,Fashion accessories,67.48,5.0,16.87,354.26,233.15,29.42,104.24,Ewallet,8.5
INV-00170,2026-07-25,A,Bhopal,Normal,Female,Sports and travel,62.1,9.0,27.95,586.86,401.41,26.84,157.51,Ewallet,7.5
INV-00171,2026-05-31,C,Jabalpur,Normal,Male,Home and lifestyle,53.83,4.0,10.77,226.1,130.15,37.68,85.19,Cash,8.7
INV-00172,2026-04-09,A,Bhopal,Member,Female,Sports and travel,45.11,5.0,11.28,236.82,130.61,40.09,94.93,Cash,5.2
INV-00173,2026-03-17,B,Indore,Normal,Female,Fashion accessories,54.38,7.0,19.03,399.66,200.47,45.08,180.16,Credit card,6.3
INV-00174,2026-03-12,B,Indore,Member,Male,Health and beauty,31.81,9.0,14.31,300.56,163.42,40.87,122.83,Credit card,5.3
INV-00175,2026-07-18,C,Jabalpur,Normal,Female,Electronic accessories,51.46,5.0,12.87,270.18,166.31,33.68,91.0,Cash,7.6
INV-00176,2026-06-23,B,Indore,Member,Female,Fashion accessories,39.81,6.0,11.94,250.82,141.15,38.96,97.73,Credit card,6.0
INV-00177,2026-03-21,B,Indore,Member,Male,Sports and travel,49.25,4.0,9.85,206.83,138.74,28.16,58.24,Credit card,6.8
INV-00178,2026-03-17,A,Bhopal,Normal,Female,Home and lifestyle,60.25,6.0,18.07,379.55,247.48,30.04,114.0,Ewallet,6.0
INV-00179,2026-08-13,C,Jabalpur,Normal,Female,Home and lifestyle,59.71,6.0,17.91,376.19,264.54,24.92,93.74,Ewallet,7.7
INV-00180,2026-05-04,C,Jabalpur,Normal,Female,Home and lifestyle,54.15,5.0,13.54,284.26,187.77,29.18,82.96,Cash,8.0
INV-00181,2026-07-13,A,Bhopal,Normal,Male,Electronic accessories,58.35,6.0,17.51,367.62,190.77,43.34,159.34,Ewallet,6.2
INV-00182,2026-03-09,B,Indore,Member,Male,Food and beverages,39.61,5.0,9.9,207.97,128.58,33.41,69.49,Ewallet,6.9
INV-00183,2026-03-09,C,Jabalpur,Normal,Male,Food and beverages,27.75,6.0,8.32,174.82,117.93,27.78,48.56,Ewallet,9.0
INV-00184,2026-01-07,A,Bhopal,Normal,Female,Food and beverages,16.28,2.0,1.63,34.18,24.5,23.57,8.06,Cash,7.7
INV-00185,2026-04-29,B,Indore,Normal,Male,Fashion accessories,43.86,3.0,6.58,138.15,86.17,32.86,45.4,Ewallet,5.9
INV-00186,2026-01-10,A,Bhopal,Normal,Female,Home and lifestyle,61.27,8.0,24.51,514.69,325.98,31.9,164.2,Ewallet,5.3
INV-00187,2026-02-04,C,Jabalpur,Normal,Male,Sports and travel,59.35,4.0,11.87,249.28,166.05,28.63,71.37,Cash,9.1
INV-00188,2026-08-31,C,Jabalpur,Normal,Female,Food and beverages,41.37,4.0,8.27,173.76,114.66,29.25,50.82,Credit card,5.5
INV-00189,2026-08-02,B,Indore,Normal,Male,Sports and travel,55.53,8.0,22.21,466.41,318.21,27.01,125.99,Ewallet,5.5
INV-00190,2026-04-24,B,Indore,Member,Male,Sports and travel,64.87,4.0,12.97,272.45,152.68,39.2,106.8,Ewallet,6.9
INV-00191,2026-05-20,B,Indore,Normal,Female,Fashion accessories,42.14,6.0,12.64,265.48,165.38,32.95,87.46,Cash,6.8
INV-00192,2026-02-01,A,Bhopal,Member,Female,Sports and travel,62.92,6.0,18.87,396.36,233.65,36.29,143.84,Cash,8.1
